Time	rHum	Temp	Wind Direction	Wind Speed	Gust	Rain	Radiation	mBar
2017:03:09:00:00:03	81	39	144	10	11	0.00	61.96	1020.6
2017:03:09:00:01:03	81	39	139	9	10	0.00	64.69	1020.6
2017:03:09:00:02:03	82	39	123	9	10	0.00	65.59	1020.6
2017:03:09:00:03:03	81	39	131	11	13	0.00	65.33	1020.6
2017:03:09:00:04:03	81	39	136	10	12	0.00	62.93	1020.6
2017:03:09:00:05:03	82	39	113	7	11	0.00	59.23	1020.6
2017:03:09:00:06:03	81	39	130	10	11	0.00	56.23	1020.6
2017:03:09:00:07:03	81	39	134	9	11	0.00	54.71	1020.6
2017:03:09:00:08:03	81	39	130	6	8	0.00	54.95	1020.6
2017:03:09:00:09:03	81	39	125	9	12	0.00	56.87	1020.5
2017:03:09:00:10:03	81	39	142	9	9	0.00	60.04	1020.5
2017:03:09:00:11:03	81	39	146	9	11	0.00	62.66	1020.5
2017:03:09:00:12:03	82	39	126	6	9	0.00	64.05	1020.5
2017:03:09:00:13:03	82	39	128	11	14	0.00	68.63	1020.5
2017:03:09:00:14:03	81	39	137	11	13	0.00	76.28	1020.5
2017:03:09:00:15:03	81	39	136	7	9	0.00	78.77	1020.5
2017:03:09:00:16:03	81	39	145	11	14	0.00	78.16	1020.5
2017:03:09:00:17:03	81	38	141	9	11	0.00	75.94	1020.5
2017:03:09:00:18:03	82	38	143	9	10	0.00	73.14	1020.5
2017:03:09:00:19:03	82	38	126	9	10	0.00	70.82	1020.5
2017:03:09:00:20:03	82	38	123	8	10	0.00	69.07	1020.5
2017:03:09:00:21:03	82	39	140	8	10	0.00	68.19	1020.5
2017:03:09:00:22:03	82	39	117	7	9	0.00	66.44	1020.5
2017:03:09:00:23:03	82	39	132	9	11	0.00	63.61	1020.5
2017:03:09:00:24:03	82	39	109	7	8	0.00	61.62	1020.5
2017:03:09:00:25:03	82	39	135	8	10	0.00	61.22	1020.5
2017:03:09:00:26:03	82	39	135	5	7	0.00	62.90	1020.5
2017:03:09:00:27:03	82	39	137	8	9	0.00	61.72	1020.5
2017:03:09:00:28:03	82	39	146	6	7	0.00	59.00	1020.5
2017:03:09:00:29:03	82	39	137	6	9	0.00	56.37	1020.5
2017:03:09:00:30:03	83	39	154	5	6	0.00	55.73	1020.5
2017:03:09:00:31:03	82	39	134	6	7	0.00	56.47	1020.5
2017:03:09:00:32:03	82	39	129	6	8	0.00	56.10	1020.5
2017:03:09:00:33:03	82	39	131	7	9	0.00	55.12	1020.5
2017:03:09:00:34:03	82	38	137	9	10	0.00	55.26	1020.5
2017:03:09:00:35:03	82	38	130	8	10	0.00	54.89	1020.5
2017:03:09:00:36:03	82	38	146	9	11	0.00	54.18	1020.5
2017:03:09:00:37:03	82	38	141	10	11	0.00	53.13	1020.5
2017:03:09:00:38:03	82	38	140	12	14	0.00	52.12	1020.5
2017:03:09:00:39:03	82	38	147	12	15	0.00	49.93	1020.5
2017:03:09:00:40:03	82	38	139	10	12	0.00	48.15	1020.5
2017:03:09:00:41:03	83	38	142	9	11	0.00	47.41	1020.5
2017:03:09:00:42:03	83	38	136	9	10	0.00	46.77	1020.5
2017:03:09:00:43:03	83	38	137	9	10	0.00	46.06	1020.5
2017:03:09:00:44:03	83	38	144	11	13	0.00	44.85	1020.4
2017:03:09:00:45:03	83	38	137	10	12	0.00	43.40	1020.5
2017:03:09:00:46:03	83	38	139	8	9	0.00	42.08	1020.4
2017:03:09:00:47:04	83	38	150	8	10	0.00	40.77	1020.5
2017:03:09:00:48:04	83	38	147	9	10	0.00	39.22	1020.4
2017:03:09:00:49:04	83	38	128	7	9	0.00	38.01	1020.5
2017:03:09:00:50:04	83	38	144	9	13	0.00	37.47	1020.6
2017:03:09:00:51:04	83	38	140	7	8	0.00	37.06	1020.6
2017:03:09:00:52:04	83	38	134	8	11	0.00	36.26	1020.6
2017:03:09:00:53:04	83	38	141	8	9	0.00	34.57	1020.6
2017:03:09:00:54:04	83	38	142	9	10	0.00	32.95	1020.4
2017:03:09:00:55:04	83	38	142	6	7	0.00	31.98	1020.4
2017:03:09:00:56:04	83	38	144	12	13	0.00	31.00	1020.4
2017:03:09:00:57:04	83	38	141	10	12	0.00	30.02	1020.5
2017:03:09:00:58:04	84	38	134	7	8	0.00	29.38	1020.4
2017:03:09:00:59:04	84	38	137	9	11	0.00	29.18	1020.4
2017:03:09:01:00:04	84	38	134	7	8	0.00	29.45	1020.4
2017:03:09:01:01:04	84	38	140	8	10	0.00	30.22	1020.4
2017:03:09:01:02:04	84	38	122	7	10	0.00	30.90	1020.4
2017:03:09:01:03:04	83	38	138	10	14	0.00	30.29	1020.4
2017:03:09:01:04:04	83	38	140	11	13	0.00	29.28	1020.3
2017:03:09:01:05:04	83	38	123	7	10	0.00	28.27	1020.4
2017:03:09:01:06:04	84	38	153	5	7	0.00	27.39	1020.3
2017:03:09:01:07:04	84	38	127	5	6	0.00	26.05	1020.4
2017:03:09:01:08:04	84	38	124	8	10	0.00	24.83	1020.4
2017:03:09:01:09:04	83	38	131	8	9	0.00	23.82	1020.4
2017:03:09:01:10:04	84	38	133	6	9	0.01	23.25	1020.4
2017:03:09:01:11:04	84	38	141	7	8	0.00	22.41	1020.3
2017:03:09:01:12:04	84	38	109	4	6	0.00	21.60	1020.3
2017:03:09:01:13:04	84	38	139	8	10	0.00	21.30	1020.3
2017:03:09:01:14:04	84	38	121	7	8	0.00	20.18	1020.3
2017:03:09:01:15:04	83	38	137	9	10	0.00	18.70	1020.4
2017:03:09:01:16:04	83	38	138	9	10	0.00	17.25	1020.4
2017:03:09:01:17:04	83	38	126	8	10	0.00	16.31	1020.3
2017:03:09:01:18:04	84	38	129	8	9	0.00	15.84	1020.3
2017:03:09:01:19:04	83	38	123	7	11	0.00	15.10	1020.3
2017:03:09:01:20:04	84	38	135	6	9	0.00	14.39	1020.4
2017:03:09:01:21:04	83	38	129	9	12	0.00	13.71	1020.4
2017:03:09:01:22:04	83	38	143	9	11	0.00	13.18	1020.4
2017:03:09:01:23:04	84	38	118	5	7	0.00	12.57	1020.4
2017:03:09:01:24:04	84	38	132	7	8	0.00	11.93	1020.4
2017:03:09:01:25:04	84	38	134	5	7	0.00	11.42	1020.4
2017:03:09:01:26:04	84	38	126	6	7	0.00	11.22	1020.4
2017:03:09:01:27:04	84	38	117	6	7	0.00	10.92	1020.3
2017:03:09:01:28:04	84	38	114	5	7	0.00	10.92	1020.3
2017:03:09:01:29:04	84	38	104	6	7	0.00	10.92	1020.3
2017:03:09:01:30:04	84	38	128	5	7	0.00	10.82	1020.3
2017:03:09:01:31:04	84	38	109	5	6	0.00	10.68	1020.3
2017:03:09:01:32:04	84	38	117	6	8	0.00	10.48	1020.3
2017:03:09:01:33:04	84	38	113	5	5	0.00	10.01	1020.4
2017:03:09:01:34:04	84	38	128	6	8	0.00	9.74	1020.3
2017:03:09:01:35:04	83	38	144	7	8	0.00	9.23	1020.3
2017:03:09:01:36:04	84	38	117	6	8	0.00	9.00	1020.3
2017:03:09:01:37:04	83	38	134	6	7	0.00	8.59	1020.3
2017:03:09:01:38:04	83	38	136	6	7	0.00	8.09	1020.3
2017:03:09:01:39:04	83	38	122	6	8	0.00	7.51	1020.3
2017:03:09:01:40:04	83	38	137	9	10	0.00	6.98	1020.3
2017:03:09:01:41:04	83	38	129	7	9	0.00	6.57	1020.2
2017:03:09:01:42:04	84	38	129	7	7	0.00	6.34	1020.3
2017:03:09:01:43:04	84	38	126	7	8	0.00	5.93	1020.2
2017:03:09:01:44:04	84	38	141	5	7	0.00	5.73	1020.2
2017:03:09:01:45:04	83	38	144	6	10	0.00	5.46	1020.1
2017:03:09:01:46:04	84	38	144	9	10	0.00	5.26	1020.1
2017:03:09:01:47:04	83	38	136	7	9	0.00	5.26	1020.1
2017:03:09:01:48:04	83	38	135	7	9	0.00	5.26	1020.0
2017:03:09:01:49:04	84	38	111	7	8	0.00	5.19	1020.0
2017:03:09:01:50:04	84	38	123	5	8	0.00	5.02	1020.0
2017:03:09:01:51:04	84	38	126	6	8	0.00	4.65	1020.0
2017:03:09:01:52:04	84	38	117	6	8	0.00	4.35	1020.0
2017:03:09:01:53:04	83	38	136	5	6	0.00	4.01	1020.0
2017:03:09:01:54:04	83	38	132	8	9	0.00	3.44	1020.0
2017:03:09:01:55:04	83	38	129	8	10	0.00	2.90	1020.0
2017:03:09:01:56:04	83	38	138	10	11	0.00	2.46	1020.0
2017:03:09:01:57:04	83	38	136	9	10	0.00	2.02	1020.0
2017:03:09:01:58:04	83	38	129	9	10	0.00	1.92	1020.0
2017:03:09:01:59:04	83	38	128	9	10	0.00	1.68	1020.0
2017:03:09:02:00:04	83	38	138	7	9	0.00	1.35	1020.0
2017:03:09:02:01:04	84	38	140	5	6	0.00	1.15	1020.0
2017:03:09:02:02:04	84	38	127	7	8	0.00	1.01	1020.0
2017:03:09:02:03:04	83	38	134	7	8	0.00	0.88	1020.0
2017:03:09:02:04:04	84	38	130	6	6	0.00	0.81	1020.0
2017:03:09:02:05:04	84	38	134	8	9	0.01	0.71	1020.0
2017:03:09:02:06:04	84	38	126	7	9	0.00	0.61	1020.0
2017:03:09:02:07:04	84	38	115	6	8	0.00	0.61	1020.0
2017:03:09:02:08:04	84	38	133	6	7	0.00	0.61	1020.0
2017:03:09:02:09:04	83	38	126	6	8	0.00	0.47	1020.0
2017:03:09:02:10:04	83	38	128	6	7	0.00	0.40	1020.0
2017:03:09:02:11:04	84	38	119	6	9	0.00	0.24	1020.0
2017:03:09:02:12:04	84	38	116	5	7	0.00	0.20	1020.0
2017:03:09:02:13:04	84	38	130	6	8	0.00	0.20	1020.0
2017:03:09:02:14:04	83	38	126	8	9	0.00	0.20	1020.1
2017:03:09:02:15:04	83	38	139	8	9	0.00	0.20	1020.1
2017:03:09:02:16:04	83	38	142	8	10	0.00	0.20	1020.0
2017:03:09:02:17:04	83	38	127	7	8	0.00	0.20	1020.0
2017:03:09:02:18:04	83	38	118	7	7	0.00	0.13	1020.0
2017:03:09:02:19:04	83	38	142	8	10	0.00	0.00	1020.0
2017:03:09:02:20:04	83	38	143	6	8	0.00	0.00	1020.0
2017:03:09:02:21:04	83	38	129	6	6	0.00	0.00	1020.0
2017:03:09:02:22:04	84	38	123	6	8	0.00	0.00	1019.9
2017:03:09:02:23:04	83	38	141	7	8	0.00	0.00	1019.9
2017:03:09:02:24:04	83	38	125	6	7	0.00	0.00	1020.0
2017:03:09:02:25:04	83	38	143	7	8	0.00	0.00	1020.0
2017:03:09:02:26:04	83	38	141	7	8	0.00	0.00	1020.0
2017:03:09:02:27:04	83	38	133	6	7	0.00	0.00	1020.0
2017:03:09:02:28:04	83	38	139	8	9	0.00	0.00	1020.0
2017:03:09:02:29:04	83	38	141	6	7	0.00	0.00	1020.0
2017:03:09:02:30:04	83	38	116	5	6	0.00	0.00	1020.0
2017:03:09:02:31:04	84	38	131	6	7	0.00	0.00	1020.0
2017:03:09:02:32:04	83	38	146	7	9	0.00	0.00	1020.0
2017:03:09:02:33:04	83	38	125	7	9	0.00	0.00	1020.0
2017:03:09:02:34:04	84	38	124	6	6	0.00	0.00	1020.0
2017:03:09:02:35:04	84	38	140	6	7	0.00	0.00	1020.0
2017:03:09:02:36:04	83	38	139	7	8	0.00	0.00	1020.0
2017:03:09:02:37:04	83	38	149	6	7	0.00	0.00	1020.0
2017:03:09:02:38:04	83	38	142	5	6	0.00	0.00	1020.0
2017:03:09:02:39:04	84	38	138	5	6	0.00	0.00	1020.0
2017:03:09:02:40:04	84	38	146	5	5	0.00	0.00	1020.0
2017:03:09:02:41:04	83	38	137	4	5	0.00	0.00	1020.0
2017:03:09:02:42:04	84	38	173	4	5	0.00	0.00	1020.0
2017:03:09:02:43:04	83	38	165	5	6	0.00	0.00	1020.0
2017:03:09:02:44:04	84	38	139	4	5	0.00	0.00	1020.0
2017:03:09:02:45:04	84	38	136	5	6	0.00	0.00	1020.0
2017:03:09:02:46:04	84	38	136	6	7	0.00	0.00	1020.0
2017:03:09:02:47:04	83	38	138	5	6	0.00	0.00	1020.0
2017:03:09:02:48:04	83	38	154	5	7	0.00	0.00	1020.0
2017:03:09:02:49:04	84	38	153	4	5	0.00	0.00	1020.1
2017:03:09:02:50:04	84	38	156	5	7	0.00	0.00	1020.1
